127.0.0.1 - - [21/May/2020:00:21:07 +0900] "GET / HTTP/1.1" 404 750
0:0:0:0:0:0:0:1 - - [21/May/2020:00:27:34 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 1628
0:0:0:0:0:0:0:1 - - [21/May/2020:00:27:35 +0900] "GET /favicon.ico HTTP/1.1" 404 761
0:0:0:0:0:0:0:1 - - [21/May/2020:00:27:55 +0900] "GET /BBS/join.jsp HTTP/1.1" 200 2902
0:0:0:0:0:0:0:1 - - [21/May/2020:00:28:26 +0900] "POST /BBS/joinAction.jsp HTTP/1.1" 200 352
0:0:0:0:0:0:0:1 - - [21/May/2020:00:28:26 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 1586
0:0:0:0:0:0:0:1 - - [21/May/2020:00:28:30 +0900] "GET /BBS/bbs.jsp HTTP/1.1" 200 6712
0:0:0:0:0:0:0:1 - - [21/May/2020:00:28:35 +0900] "GET /BBS/write.jsp HTTP/1.1" 200 2815
0:0:0:0:0:0:0:1 - - [21/May/2020:00:28:42 +0900] "POST /BBS/writeAction.jsp HTTP/1.1" 200 337
0:0:0:0:0:0:0:1 - - [21/May/2020:00:28:43 +0900] "GET /BBS/bbs.jsp HTTP/1.1" 200 6710
0:0:0:0:0:0:0:1 - - [21/May/2020:00:28:45 +0900] "GET /BBS/view.jsp?bbsID=15 HTTP/1.1" 200 3087
0:0:0:0:0:0:0:1 - - [21/May/2020:00:28:47 +0900] "GET /BBS/update.jsp?bbsID=15 HTTP/1.1" 200 2914
0:0:0:0:0:0:0:1 - - [21/May/2020:00:28:50 +0900] "POST /BBS/updateAction.jsp?bbsID=15 HTTP/1.1" 200 309
0:0:0:0:0:0:0:1 - - [21/May/2020:00:28:50 +0900] "GET /BBS/bbs.jsp HTTP/1.1" 200 6717
0:0:0:0:0:0:0:1 - - [21/May/2020:00:28:52 +0900] "GET /BBS/view.jsp?bbsID=15 HTTP/1.1" 200 3099
0:0:0:0:0:0:0:1 - - [21/May/2020:00:28:55 +0900] "GET /BBS/deleteAction.jsp?bbsID=15 HTTP/1.1" 200 307
0:0:0:0:0:0:0:1 - - [21/May/2020:00:28:55 +0900] "GET /BBS/bbs.jsp HTTP/1.1" 200 6712
0:0:0:0:0:0:0:1 - - [21/May/2020:00:32:15 +0900] "GET /BBS/logoutAction.jsp HTTP/1.1" 200 219
0:0:0:0:0:0:0:1 - - [21/May/2020:00:32:15 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 1628
0:0:0:0:0:0:0:1 - - [21/May/2020:00:34:43 +0900] "GET /BBS/join.jsp HTTP/1.1" 200 2902
0:0:0:0:0:0:0:1 - - [21/May/2020:00:35:02 +0900] "POST /BBS/joinAction.jsp HTTP/1.1" 200 352
0:0:0:0:0:0:0:1 - - [21/May/2020:00:35:02 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 1586
0:0:0:0:0:0:0:1 - - [21/May/2020:00:35:07 +0900] "GET /BBS/logoutAction.jsp HTTP/1.1" 200 219
0:0:0:0:0:0:0:1 - - [21/May/2020:00:35:07 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 1628
0:0:0:0:0:0:0:1 - - [21/May/2020:00:35:09 +0900] "GET /BBS/login.jsp HTTP/1.1" 200 2380
0:0:0:0:0:0:0:1 - - [21/May/2020:00:35:12 +0900] "POST /BBS/loginAction.jsp HTTP/1.1" 200 624
0:0:0:0:0:0:0:1 - - [21/May/2020:00:35:13 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 1586
0:0:0:0:0:0:0:1 - - [21/May/2020:00:35:15 +0900] "GET /BBS/bbs.jsp HTTP/1.1" 200 6712
0:0:0:0:0:0:0:1 - - [21/May/2020:00:35:17 +0900] "GET /BBS/write.jsp HTTP/1.1" 200 2815
0:0:0:0:0:0:0:1 - - [21/May/2020:00:35:20 +0900] "POST /BBS/writeAction.jsp HTTP/1.1" 200 337
0:0:0:0:0:0:0:1 - - [21/May/2020:00:35:21 +0900] "GET /BBS/bbs.jsp HTTP/1.1" 200 6706
0:0:0:0:0:0:0:1 - - [21/May/2020:00:35:22 +0900] "GET /BBS/view.jsp?bbsID=16 HTTP/1.1" 200 3081
0:0:0:0:0:0:0:1 - - [21/May/2020:00:35:23 +0900] "GET /BBS/update.jsp?bbsID=16 HTTP/1.1" 200 2910
0:0:0:0:0:0:0:1 - - [21/May/2020:00:35:29 +0900] "POST /BBS/updateAction.jsp?bbsID=16 HTTP/1.1" 200 309
0:0:0:0:0:0:0:1 - - [21/May/2020:00:35:29 +0900] "GET /BBS/bbs.jsp HTTP/1.1" 200 6712
0:0:0:0:0:0:0:1 - - [21/May/2020:00:35:31 +0900] "GET /BBS/view.jsp?bbsID=16 HTTP/1.1" 200 3093
0:0:0:0:0:0:0:1 - - [21/May/2020:00:35:35 +0900] "GET /BBS/deleteAction.jsp?bbsID=16 HTTP/1.1" 200 307
0:0:0:0:0:0:0:1 - - [21/May/2020:00:35:35 +0900] "GET /BBS/bbs.jsp HTTP/1.1" 200 6712
