127.0.0.1 - - [22/Apr/2020:21:33:28 +0900] "GET / HTTP/1.1" 404 750
0:0:0:0:0:0:0:1 - - [22/Apr/2020:21:33:54 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 1627
0:0:0:0:0:0:0:1 - - [22/Apr/2020:21:33:54 +0900] "GET /BBS/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Apr/2020:21:33:54 +0900] "GET /BBS/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Apr/2020:21:34:09 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 1627
0:0:0:0:0:0:0:1 - - [22/Apr/2020:21:34:10 +0900] "GET /favicon.ico HTTP/1.1" 404 761
0:0:0:0:0:0:0:1 - - [22/Apr/2020:21:47:45 +0900] "GET /BBS/join.jsp HTTP/1.1" 200 2902
0:0:0:0:0:0:0:1 - - [22/Apr/2020:21:48:35 +0900] "GET /BBS/join.jsp HTTP/1.1" 200 2902
0:0:0:0:0:0:0:1 - - [22/Apr/2020:21:48:57 +0900] "GET /BBS/login.jsp HTTP/1.1" 200 2379
0:0:0:0:0:0:0:1 - - [22/Apr/2020:21:49:11 +0900] "POST /BBS/loginAction.jsp HTTP/1.1" 200 624
0:0:0:0:0:0:0:1 - - [22/Apr/2020:21:49:12 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 1585
0:0:0:0:0:0:0:1 - - [22/Apr/2020:21:49:21 +0900] "GET /BBS/logoutAction.jsp HTTP/1.1" 200 219
0:0:0:0:0:0:0:1 - - [22/Apr/2020:21:49:21 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 1627
0:0:0:0:0:0:0:1 - - [22/Apr/2020:21:49:40 +0900] "GET /BBS/login.jsp HTTP/1.1" 200 2379
0:0:0:0:0:0:0:1 - - [22/Apr/2020:21:49:45 +0900] "POST /BBS/loginAction.jsp HTTP/1.1" 200 624
0:0:0:0:0:0:0:1 - - [22/Apr/2020:21:49:45 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 1585
0:0:0:0:0:0:0:1 - - [22/Apr/2020:21:49:52 +0900] "GET /BBS/logoutAction.jsp HTTP/1.1" 200 219
0:0:0:0:0:0:0:1 - - [22/Apr/2020:21:49:52 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 1627
0:0:0:0:0:0:0:1 - - [22/Apr/2020:21:49:59 +0900] "GET /BBS/login.jsp HTTP/1.1" 200 2379
0:0:0:0:0:0:0:1 - - [22/Apr/2020:21:50:03 +0900] "POST /BBS/loginAction.jsp HTTP/1.1" 200 624
0:0:0:0:0:0:0:1 - - [22/Apr/2020:21:50:03 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 1585
0:0:0:0:0:0:0:1 - - [22/Apr/2020:21:50:07 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 1585
0:0:0:0:0:0:0:1 - - [22/Apr/2020:21:50:10 +0900] "GET /BBS/BBS.jsp HTTP/1.1" 404 765
0:0:0:0:0:0:0:1 - - [22/Apr/2020:21:50:15 +0900] "GET /BBS/logoutAction.jsp HTTP/1.1" 200 219
0:0:0:0:0:0:0:1 - - [22/Apr/2020:21:50:15 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 1627
0:0:0:0:0:0:0:1 - - [22/Apr/2020:21:55:11 +0900] "GET /BBS/login.jsp HTTP/1.1" 200 2379
0:0:0:0:0:0:0:1 - - [22/Apr/2020:21:55:34 +0900] "GET /BBS/join.jsp HTTP/1.1" 200 2902
0:0:0:0:0:0:0:1 - - [22/Apr/2020:21:56:00 +0900] "GET /BBS/login.jsp HTTP/1.1" 200 2379
0:0:0:0:0:0:0:1 - - [22/Apr/2020:21:58:32 +0900] "POST /BBS/loginAction.jsp HTTP/1.1" 200 624
0:0:0:0:0:0:0:1 - - [22/Apr/2020:21:58:32 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 1585
0:0:0:0:0:0:0:1 - - [22/Apr/2020:21:59:56 +0900] "GET /BBS/logoutAction.jsp HTTP/1.1" 200 219
0:0:0:0:0:0:0:1 - - [22/Apr/2020:21:59:57 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 1627
0:0:0:0:0:0:0:1 - - [22/Apr/2020:22:07:27 +0900] "GET /BBS/login.jsp HTTP/1.1" 200 2379
0:0:0:0:0:0:0:1 - - [22/Apr/2020:22:07:33 +0900] "POST /BBS/loginAction.jsp HTTP/1.1" 200 624
0:0:0:0:0:0:0:1 - - [22/Apr/2020:22:07:33 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 1585
