127.0.0.1 - - [28/May/2020:02:35:44 +0900] "GET / HTTP/1.1" 404 750
0:0:0:0:0:0:0:1 - - [28/May/2020:02:36:16 +0900] "GET /BBS/index.jsp HTTP/1.1" 200 371
0:0:0:0:0:0:0:1 - - [28/May/2020:02:36:17 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 3153
0:0:0:0:0:0:0:1 - - [28/May/2020:02:36:17 +0900] "GET /BBS/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/May/2020:02:36:17 +0900] "GET /BBS/images/3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/May/2020:02:36:17 +0900] "GET /BBS/images/2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/May/2020:02:36:17 +0900] "GET /BBS/images/1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/May/2020:02:36:17 +0900] "GET /BBS/css/custom.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/May/2020:02:36:17 +0900] "GET /BBS/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/May/2020:02:36:22 +0900] "GET /BBS/login.jsp HTTP/1.1" 200 2427
0:0:0:0:0:0:0:1 - - [28/May/2020:02:36:22 +0900] "GET /BBS/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/May/2020:02:36:22 +0900] "GET /BBS/css/custom.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/May/2020:02:36:22 +0900] "GET /BBS/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/May/2020:02:37:14 +0900] "POST /BBS/loginAction.jsp HTTP/1.1" 200 624
0:0:0:0:0:0:0:1 - - [28/May/2020:02:37:14 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 3111
0:0:0:0:0:0:0:1 - - [28/May/2020:02:37:14 +0900] "GET /BBS/css/custom.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/May/2020:02:37:14 +0900] "GET /BBS/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/May/2020:02:37:14 +0900] "GET /BBS/images/1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/May/2020:02:37:14 +0900] "GET /BBS/images/2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/May/2020:02:37:14 +0900] "GET /BBS/images/3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/May/2020:02:37:14 +0900] "GET /BBS/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/May/2020:02:37:16 +0900] "GET /BBS/bbs.jsp HTTP/1.1" 200 6755
0:0:0:0:0:0:0:1 - - [28/May/2020:02:37:16 +0900] "GET /BBS/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/May/2020:02:37:16 +0900] "GET /BBS/css/custom.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/May/2020:02:37:16 +0900] "GET /BBS/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/May/2020:02:37:36 +0900] "GET /BBS/logoutAction.jsp HTTP/1.1" 200 219
0:0:0:0:0:0:0:1 - - [28/May/2020:02:37:36 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 3153
0:0:0:0:0:0:0:1 - - [28/May/2020:02:37:36 +0900] "GET /BBS/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/May/2020:02:37:36 +0900] "GET /BBS/css/custom.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/May/2020:02:37:36 +0900] "GET /BBS/images/1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/May/2020:02:37:36 +0900] "GET /BBS/images/2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/May/2020:02:37:36 +0900] "GET /BBS/images/3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/May/2020:02:37:36 +0900] "GET /BBS/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/May/2020:02:37:38 +0900] "GET /BBS/login.jsp HTTP/1.1" 200 2427
0:0:0:0:0:0:0:1 - - [28/May/2020:02:37:38 +0900] "GET /BBS/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/May/2020:02:37:38 +0900] "GET /BBS/css/custom.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/May/2020:02:37:38 +0900] "GET /BBS/js/bootstrap.js HTTP/1.1" 304 -
