127.0.0.1 - - [06/Jun/2020:15:17:33 +0900] "GET / HTTP/1.1" 404 750
0:0:0:0:0:0:0:1 - - [06/Jun/2020:15:26:16 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 3411
0:0:0:0:0:0:0:1 - - [06/Jun/2020:15:26:16 +0900] "GET /BBS/css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jun/2020:15:26:16 +0900] "GET /BBS/css/main_normalize.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jun/2020:15:26:16 +0900] "GET /BBS/js/main.js HTTP/1.1" 200 957
0:0:0:0:0:0:0:1 - - [06/Jun/2020:15:26:17 +0900] "GET /BBS/css/custom.css HTTP/1.1" 200 321
0:0:0:0:0:0:0:1 - - [06/Jun/2020:15:26:17 +0900] "GET /BBS/js/main_vendor/jquery-1.10.2.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jun/2020:15:26:17 +0900] "GET /BBS/images/titleLogo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jun/2020:15:26:17 +0900] "GET /BBS/img/2_gr.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jun/2020:15:26:17 +0900] "GET /BBS/img/1_gr.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jun/2020:15:26:17 +0900] "GET /BBS/img/3_gr.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jun/2020:15:26:17 +0900] "GET /BBS/img/2_bl.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jun/2020:15:26:17 +0900] "GET /BBS/img/3_bl.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jun/2020:15:26:17 +0900] "GET /BBS/img/4_gr.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jun/2020:15:26:17 +0900] "GET /BBS/img/4_bl.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jun/2020:15:26:17 +0900] "GET /BBS/js/main_vendor/jquery-ui-1.10.3.custom.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jun/2020:15:26:17 +0900] "GET /BBS/img/1_bl.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jun/2020:15:26:17 +0900] "GET /favicon.ico HTTP/1.1" 404 761
