127.0.0.1 - - [30/May/2020:16:12:19 +0900] "GET / HTTP/1.1" 404 750
0:0:0:0:0:0:0:1 - - [30/May/2020:16:12:38 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 1928
0:0:0:0:0:0:0:1 - - [30/May/2020:16:12:38 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 1928
0:0:0:0:0:0:0:1 - - [30/May/2020:16:12:38 +0900] "GET /BBS/css/custom.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/May/2020:16:12:39 +0900] "GET /favicon.ico HTTP/1.1" 404 761
0:0:0:0:0:0:0:1 - - [30/May/2020:16:12:43 +0900] "GET /BBS/login.jsp HTTP/1.1" 200 2427
0:0:0:0:0:0:0:1 - - [30/May/2020:16:12:55 +0900] "POST /BBS/loginAction.jsp HTTP/1.1" 200 624
0:0:0:0:0:0:0:1 - - [30/May/2020:16:12:55 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 1886
0:0:0:0:0:0:0:1 - - [30/May/2020:16:13:00 +0900] "GET /BBS/bbs.jsp HTTP/1.1" 200 6748
0:0:0:0:0:0:0:1 - - [30/May/2020:16:13:51 +0900] "GET /BBS/view.jsp?bbsID=12 HTTP/1.1" 200 3170
0:0:0:0:0:0:0:1 - - [30/May/2020:16:13:53 +0900] "GET /BBS/update.jsp?bbsID=12 HTTP/1.1" 200 2996
0:0:0:0:0:0:0:1 - - [30/May/2020:16:14:03 +0900] "POST /BBS/updateAction.jsp?bbsID=12 HTTP/1.1" 200 309
0:0:0:0:0:0:0:1 - - [30/May/2020:16:14:04 +0900] "GET /BBS/bbs.jsp HTTP/1.1" 200 6748
0:0:0:0:0:0:0:1 - - [30/May/2020:17:18:43 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 1928
0:0:0:0:0:0:0:1 - - [30/May/2020:17:40:15 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 1953
0:0:0:0:0:0:0:1 - - [30/May/2020:17:40:33 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 1928
0:0:0:0:0:0:0:1 - - [30/May/2020:17:41:00 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 1953
0:0:0:0:0:0:0:1 - - [30/May/2020:17:41:00 +0900] "GET /BBS/images/titleLogo.png HTTP/1.1" 200 14642
0:0:0:0:0:0:0:1 - - [30/May/2020:17:44:43 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 1968
0:0:0:0:0:0:0:1 - - [30/May/2020:17:44:43 +0900] "GET /BBS/images/titleLogo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/May/2020:17:45:18 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 1968
0:0:0:0:0:0:0:1 - - [30/May/2020:17:45:18 +0900] "GET /BBS/images/titleLogo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/May/2020:17:45:59 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 1981
0:0:0:0:0:0:0:1 - - [30/May/2020:17:45:59 +0900] "GET /BBS/images/titleLogo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/May/2020:17:47:11 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 1967
0:0:0:0:0:0:0:1 - - [30/May/2020:17:47:12 +0900] "GET /BBS/images/titleLogo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/May/2020:17:49:21 +0900] "GET /BBS/bbs.jsp HTTP/1.1" 200 6919
0:0:0:0:0:0:0:1 - - [30/May/2020:17:49:21 +0900] "GET /BBS/images/titleLogo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/May/2020:17:49:24 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 1967
0:0:0:0:0:0:0:1 - - [30/May/2020:17:49:27 +0900] "GET /BBS/bbs.jsp HTTP/1.1" 200 6919
0:0:0:0:0:0:0:1 - - [30/May/2020:17:58:58 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 1967
0:0:0:0:0:0:0:1 - - [30/May/2020:17:58:58 +0900] "GET /BBS/images/titleLogo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/May/2020:17:59:00 +0900] "GET /BBS/bbs.jsp HTTP/1.1" 200 6947
0:0:0:0:0:0:0:1 - - [30/May/2020:17:59:32 +0900] "GET /BBS/bbs.jsp HTTP/1.1" 200 6958
0:0:0:0:0:0:0:1 - - [30/May/2020:18:00:13 +0900] "GET /BBS/bbs.jsp HTTP/1.1" 200 6969
0:0:0:0:0:0:0:1 - - [30/May/2020:18:01:08 +0900] "GET /BBS/login.jsp HTTP/1.1" 200 2427
0:0:0:0:0:0:0:1 - - [30/May/2020:18:02:14 +0900] "GET /BBS/login.jsp HTTP/1.1" 200 2483
0:0:0:0:0:0:0:1 - - [30/May/2020:18:02:23 +0900] "POST /BBS/loginAction.jsp HTTP/1.1" 200 624
0:0:0:0:0:0:0:1 - - [30/May/2020:18:02:23 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 1925
0:0:0:0:0:0:0:1 - - [30/May/2020:18:02:24 +0900] "GET /BBS/images/titleLogo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/May/2020:18:02:26 +0900] "GET /BBS/bbs.jsp HTTP/1.1" 200 6838
0:0:0:0:0:0:0:1 - - [30/May/2020:18:03:06 +0900] "GET /BBS/css/bootstrap.min.css.map HTTP/1.1" 200 542194
0:0:0:0:0:0:0:1 - - [30/May/2020:18:04:24 +0900] "GET /BBS/bbs.jsp?pageNumber=2 HTTP/1.1" 200 5314
0:0:0:0:0:0:0:1 - - [30/May/2020:18:06:09 +0900] "GET /BBS/bbs.jsp?pageNumber=2 HTTP/1.1" 200 5371
0:0:0:0:0:0:0:1 - - [30/May/2020:18:06:09 +0900] "GET /BBS/images/titleLogo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/May/2020:18:06:12 +0900] "GET /BBS/bbs.jsp?pageNumber=1 HTTP/1.1" 200 6895
0:0:0:0:0:0:0:1 - - [30/May/2020:18:06:30 +0900] "GET /BBS/bbs.jsp?pageNumber=2 HTTP/1.1" 200 5371
