127.0.0.1 - - [26/May/2020:20:17:35 +0900] "GET / HTTP/1.1" 404 750
0:0:0:0:0:0:0:1 - - [26/May/2020:20:18:24 +0900] "GET /BBS/index.jsp HTTP/1.1" 200 371
0:0:0:0:0:0:0:1 - - [26/May/2020:20:18:27 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 3153
0:0:0:0:0:0:0:1 - - [26/May/2020:20:18:27 +0900] "GET /BBS/css/custom.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/May/2020:20:18:27 +0900] "GET /BBS/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/May/2020:20:18:27 +0900] "GET /BBS/images/1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/May/2020:20:18:27 +0900] "GET /BBS/images/2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/May/2020:20:18:27 +0900] "GET /BBS/images/3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/May/2020:20:18:27 +0900] "GET /BBS/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/May/2020:20:18:42 +0900] "GET /BBS/bbs.jsp HTTP/1.1" 200 6891
0:0:0:0:0:0:0:1 - - [26/May/2020:20:18:42 +0900] "GET /BBS/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/May/2020:20:18:43 +0900] "GET /BBS/css/custom.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/May/2020:20:18:43 +0900] "GET /BBS/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/May/2020:20:18:49 +0900] "GET /BBS/view.jsp?bbsID=13 HTTP/1.1" 200 2953
0:0:0:0:0:0:0:1 - - [26/May/2020:20:18:49 +0900] "GET /BBS/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/May/2020:20:18:49 +0900] "GET /BBS/css/custom.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/May/2020:20:18:49 +0900] "GET /BBS/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/May/2020:20:18:51 +0900] "GET /BBS/bbs.jsp HTTP/1.1" 200 6891
0:0:0:0:0:0:0:1 - - [26/May/2020:20:18:51 +0900] "GET /BBS/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/May/2020:20:18:51 +0900] "GET /BBS/css/custom.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/May/2020:20:18:51 +0900] "GET /BBS/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/May/2020:20:18:53 +0900] "GET /BBS/view.jsp?bbsID=12 HTTP/1.1" 200 2997
0:0:0:0:0:0:0:1 - - [26/May/2020:20:18:53 +0900] "GET /BBS/css/bootstrap.min.css HTTP/1.1" 304 -
